 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 2 	174 	7 	6 	2.0 	84
 2 	175 	7 	6 	2.0 	84
 2 	176 	7 	6 	2.0 	84
 2 	177 	7 	6 	2.0 	84
 2 	178 	7 	6 	2.0 	84
 2 	179 	7 	6 	2.0 	85
 2 	180 	7 	6 	2.0 	86
 2 	181 	7 	6 	2.0 	86
 2 	182 	7 	6 	2.0 	87
 2 	183 	7 	6 	2.0 	87
 2 	184 	7 	6 	2.0 	87
 2 	185 	7 	6 	2.0 	87
 2 	186 	7 	6 	2.0 	88
 2 	187 	7 	6 	2.0 	89
 2 	188 	7 	6 	2.0 	90
 2 	189 	7 	6 	2.0 	90
 2 	190 	7 	6 	2.0 	90
 2 	191 	7 	6 	2.0 	91
 2 	192 	7 	6 	2.0 	92
 2 	193 	7 	6 	2.0 	92
 2 	194 	7 	6 	2.0 	93
 2 	195 	7 	6 	2.0 	94
 2 	196 	7 	6 	2.0 	94
 2 	197 	7 	6 	2.0 	95
 2 	198 	7 	6 	2.0 	95
 2 	199 	7 	6 	2.0 	95
 3 	0 	16 	0 	-1 	1
 3 	1 	16 	0 	-1 	1
 3 	2 	16 	0 	-1 	1
 3 	3 	16 	0 	-1 	1
 3 	4 	14 	2 	4.0 	2
 3 	5 	13 	2 	2.5 	3
 3 	6 	13 	2 	2.5 	3
 3 	7 	13 	3 	3.33333333333 	4
 3 	8 	12 	3 	4.33333333333 	5
 3 	9 	12 	3 	4.0 	6
 3 	10 	12 	3 	4.0 	7
 3 	11 	11 	3 	3.66666666667 	8
 3 	12 	11 	3 	3.0 	9
 3 	13 	11 	3 	3.0 	9
 3 	14 	12 	3 	3.0 	9
 3 	15 	12 	3 	3.0 	9
 3 	16 	11 	3 	3.0 	9
 3 	17 	11 	3 	3.0 	9
 3 	18 	11 	4 	3.0 	10
 3 	19 	11 	4 	3.0 	11
 3 	20 	11 	4 	3.0 	11
 3 	21 	10 	4 	3.0 	12
 3 	22 	10 	4 	2.33333333333 	13
 3 	23 	10 	4 	2.33333333333 	13
 3 	24 	10 	4 	2.33333333333 	13
 3 	25 	10 	5 	2.33333333333 	14
 3 	26 	10 	5 	2.33333333333 	14
 3 	27 	10 	5 	2.33333333333 	14
 3 	28 	10 	5 	2.33333333333 	15
 3 	29 	10 	5 	2.33333333333 	15
 3 	30 	10 	5 	2.33333333333 	16
 3 	31 	10 	5 	2.33333333333 	16
 3 	32 	10 	5 	2.0 	17
 3 	33 	10 	5 	2.0 	17
 3 	34 	10 	5 	2.0 	18
 3 	35 	10 	5 	2.0 	19
 3 	36 	10 	5 	2.0 	19
 3 	37 	10 	5 	2.0 	19
 3 	38 	10 	5 	2.0 	19
 3 	39 	10 	5 	2.0 	20
 3 	40 	9 	5 	2.0 	21
 3 	41 	9 	5 	2.0 	21
 3 	42 	9 	5 	2.0 	21
 3 	43 	9 	5 	2.0 	22
 3 	44 	9 	5 	2.0 	23
 3 	45 	9 	5 	2.0 	23
 3 	46 	9 	6 	2.0 	24
 3 	47 	9 	6 	2.0 	24
 3 	48 	9 	6 	2.0 	24
 3 	49 	9 	6 	2.0 	24
 3 	50 	9 	6 	2.0 	25
 3 	51 	8 	6 	2.0 	25
 3 	52 	9 	6 	2.0 	25
 3 	53 	9 	6 	2.0 	25
 3 	54 	9 	6 	2.0 	26
